fighter_url,first_name,last_name,nickname,stance,wins,losses,draws,slpm,sapm,td_avg,sub_avg,full_name,height_inches,reach_inches,weight_lbs,total_fights,win_pct,str_acc_career,str_def_career,td_acc_career,td_def_career,dob_parsed
http://www.ufcstats.com/fighter-details/9ac4e43ed56429ed,Levi,Rodrigues Jr.,Baby Monster,Orthodox,6,0,0,4.5,2.1,0.0,0.0,Levi Rodrigues Jr.,72.0,76.0,205.0,6,1.0,0.78,0.22,,1.0,1996-10-15
http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe,Paul,Rodriguez,,Orthodox,10,9,2,0.84,1.68,0.0,0.0,Paul Rodriguez,67.0,,155.0,21,0.47619047619047616,1.0,0.68,,0.5,1975-05-18
http://www.ufcstats.com/fighter-details/50cc91ce2982785d,Ricco,Rodriguez,Suave,Orthodox,53,25,0,1.85,1.15,2.3,1.0,Ricco Rodriguez,76.0,,265.0,78,0.6794871794871795,0.51,0.61,0.39,0.4,1977-08-19
http://www.ufcstats.com/fighter-details/5a6e4d2f0c76a242,Manuel,Rodriguez,Chalate,Orthodox,11,5,0,0.81,3.23,9.09,0.0,Manuel Rodriguez,69.0,,170.0,16,0.6875,0.33,0.38,0.75,,1985-04-25
http://www.ufcstats.com/fighter-details/cbf5e6f231b55443,Yair,Rodriguez,El Pantera,Orthodox,21,6,0,4.65,3.78,0.71,0.6,Yair Rodriguez,71.0,71.0,145.0,27,0.7777777777777778,0.46,0.52,0.29,0.59,1992-10-06
http://www.ufcstats.com/fighter-details/18b602842a24f7c5,Mike,Rodriguez,Slo Mike,Southpaw,11,7,0,4.35,4.24,0.0,0.0,Mike Rodriguez,76.0,82.0,205.0,18,0.6111111111111112,0.53,0.41,,0.37,1988-11-28
http://www.ufcstats.com/fighter-details/cd2c4d30c6e13b47,Marina,Rodriguez,,Orthodox,17,6,2,4.51,3.01,0.27,0.3,Marina Rodriguez,66.0,65.0,115.0,25,0.68,0.46,0.55,0.5,0.61,1987-04-29
http://www.ufcstats.com/fighter-details/8a1f3b5c526cd6e6,Daniel,Rodriguez,D-Rod,Southpaw,20,5,0,7.2,5.4,0.51,0.1,Daniel Rodriguez,73.0,74.0,170.0,25,0.8,0.49,0.57,0.5,0.64,1986-12-31
http://www.ufcstats.com/fighter-details/90e0985df05e51bc,Ray,Rodriguez,The Judge,Orthodox,16,8,0,0.9,3.89,1.42,0.0,Ray Rodriguez,67.0,70.0,135.0,24,0.6666666666666666,0.27,0.4,0.5,0.44,1987-12-10
http://www.ufcstats.com/fighter-details/f2900678e98f6d6a,Ronaldo,Rodriguez,Lazy Boy,Orthodox,17,3,0,2.71,3.8,1.09,0.8,Ronaldo Rodriguez,66.0,65.0,125.0,20,0.85,0.43,0.44,0.36,0.64,1999-05-07
http://www.ufcstats.com/fighter-details/dc3b9cf7641b7ab6,Drako,Rodriguez,,Orthodox,7,3,0,3.37,4.4,2.93,0.7,Drako Rodriguez,68.0,69.0,135.0,10,0.7,0.36,0.58,0.66,0.75,1996-06-16
http://www.ufcstats.com/fighter-details/f6e5972c9d16c40e,Victor,Rodriguez,Vicious,Switch,7,4,0,1.59,6.11,0.0,0.0,Victor Rodriguez,65.0,67.0,125.0,11,0.6363636363636364,0.37,0.5,,,1992-09-05
http://www.ufcstats.com/fighter-details/e375cb5caf4717b6,Piera,Rodriguez,La Fiera,Orthodox,12,2,0,4.04,3.13,4.04,0.0,Piera Rodriguez,63.0,63.0,115.0,14,0.8571428571428571,0.46,0.53,0.5,0.81,1992-11-11
http://www.ufcstats.com/fighter-details/5ec591b78349ba7e,Christian,Rodriguez,Ceerod,Orthodox,12,4,0,3.85,2.85,1.75,1.1,Christian Rodriguez,67.0,71.0,145.0,16,0.75,0.5,0.56,0.4,0.67,1997-12-17
http://www.ufcstats.com/fighter-details/776d4262c4da38bf,Pete,Rodriguez,Dead Game,Switch,5,2,0,9.28,12.83,0.0,0.0,Pete Rodriguez,69.0,71.0,170.0,7,0.7142857142857143,0.43,0.42,,1.0,1996-11-13
http://www.ufcstats.com/fighter-details/6e8349a0a0476d60,Imanol,Rodriguez,Himan,Orthodox,7,0,0,5.71,2.42,1.3,0.0,Imanol Rodriguez,64.0,64.0,125.0,7,1.0,0.55,0.58,0.33,,1999-11-15
http://www.ufcstats.com/fighter-details/7195e2a932686f82,Nick,Roehrick,,Orthodox,7,1,0,2.31,6.92,0.0,0.0,Nick Roehrick,74.0,,205.0,8,0.875,0.17,0.44,,,1987-07-06
http://www.ufcstats.com/fighter-details/ab943cd2c3c17825,Marcos,Rogerio de Lima,Pezao,Orthodox,22,10,1,3.7,2.9,1.4,0.5,Marcos Rogerio de Lima,73.0,75.0,253.0,33,0.6666666666666666,0.57,0.51,0.45,0.59,1985-06-25
http://www.ufcstats.com/fighter-details/9141bb39310773c7,Brett,Rogers,The Grim,Orthodox,17,10,0,3.17,3.2,0.0,0.0,Brett Rogers,77.0,81.0,265.0,27,0.6296296296296297,0.44,0.46,,0.58,1981-02-17
http://www.ufcstats.com/fighter-details/f304aff405c4a8fa,Brian,Rogers,The Professional Predator,,14,9,0,4.79,5.76,1.22,0.6,Brian Rogers,71.0,,185.0,23,0.6086956521739131,0.38,0.58,0.5,1.0,1984-02-15
http://www.ufcstats.com/fighter-details/36f3d235493d35ad,Pete,Rogers Jr.,The Heat,,2,4,0,0.66,1.71,0.0,0.0,Pete Rogers Jr.,72.0,,145.0,6,0.3333333333333333,0.15,0.65,,,
http://www.ufcstats.com/fighter-details/59a27d2e6d0802ac,Max,Rohskopf,Rated R,Orthodox,5,1,0,1.7,5.8,3.0,1.5,Max Rohskopf,73.0,71.0,155.0,6,0.8333333333333334,0.31,0.42,0.33,,1994-09-27
http://www.ufcstats.com/fighter-details/2804ce8dadab5770,Marcelo,Rojo,Pitbull,Orthodox,16,10,0,4.92,6.42,0.46,0.0,Marcelo Rojo,68.0,71.0,145.0,26,0.6153846153846154,0.39,0.55,0.5,0.66,1988-07-02
http://www.ufcstats.com/fighter-details/75e0d3cc2262b732,Shane,Roller,,Orthodox,11,7,0,2.04,2.65,2.46,1.9,Shane Roller,70.0,72.0,155.0,18,0.6111111111111112,0.34,0.6,0.33,0.42,1979-07-14
http://www.ufcstats.com/fighter-details/c4b6099f0d25f75e,Jared,Rollins,J-Roc,Orthodox,8,4,0,3.33,2.41,2.5,1.2,Jared Rollins,69.0,,170.0,12,0.6666666666666666,0.57,0.39,0.5,0.5,1977-01-26
http://www.ufcstats.com/fighter-details/3b83fec860a45ca1,Tim,Roman,,,3,4,0,0.6,2.4,1.0,0.0,Tim Roman,73.0,,170.0,7,0.42857142857142855,0.4,0.4,1.0,0.16,1985-06-08
http://www.ufcstats.com/fighter-details/c0badf3243907e59,Alexandr,Romanov,King Kong,Southpaw,18,3,0,3.78,2.13,4.49,0.9,Alexandr Romanov,74.0,75.0,262.0,21,0.8571428571428571,0.51,0.54,0.55,0.28,1990-12-11
http://www.ufcstats.com/fighter-details/744e098e065cfdbe,Ricardo,Romero,,Orthodox,11,3,0,2.17,4.77,1.63,3.3,Ricardo Romero,72.0,76.0,205.0,14,0.7857142857142857,0.55,0.46,0.1,1.0,1978-04-15
http://www.ufcstats.com/fighter-details/f77c68bb4be8516d,Yoel,Romero,Soldier of God,Southpaw,13,5,0,3.44,3.05,1.57,0.0,Yoel Romero,72.0,73.0,185.0,18,0.7222222222222222,0.49,0.6,0.3,0.78,1977-04-30
http://www.ufcstats.com/fighter-details/6f81399074fcdbba,Anthony,Romero,The Genius,Orthodox,8,0,0,5.87,4.0,2.0,0.0,Anthony Romero,71.0,70.0,155.0,8,1.0,0.52,0.65,0.22,1.0,1997-02-25
