event_name,event_url,event_date,location
UFC Fight Night: Gane vs. Spivac,http://www.ufcstats.com/event-details/ef61d9f5176b3200,"Paris, Ile-de-France, France",
UFC Fight Night: Holloway vs. The Korean Zombie,http://www.ufcstats.com/event-details/89a407032911e27e,"Kallang, Singapore",
UFC 292: Sterling vs. O'Malley,http://www.ufcstats.com/event-details/2719f300b0439039,"Boston, Massachusetts, USA",
UFC Fight Night: Luque vs. Dos Anjos,http://www.ufcstats.com/event-details/d2fa318f34d0aadc,"Las Vegas, Nevada, USA",
UFC Fight Night: Sandhagen vs. Font,http://www.ufcstats.com/event-details/6f81b6de2557739a,"Nashville, Tennessee, USA",
UFC 291: Poirier vs. Gaethje 2,http://www.ufcstats.com/event-details/ccd58ff71e260ed5,"Salt Lake City, Utah, USA",
UFC Fight Night: Aspinall vs. Tybura,http://www.ufcstats.com/event-details/1174782eacde9b0c,"London, England, United Kingdom",
UFC Fight Night: Holm vs. Bueno Silva,http://www.ufcstats.com/event-details/c9885b1b7c7055a0,"Las Vegas, Nevada, USA",
UFC 290: Volkanovski vs. Rodriguez,http://www.ufcstats.com/event-details/6085ceb59087514b,"Las Vegas, Nevada, USA",
UFC Fight Night: Strickland vs. Magomedov,http://www.ufcstats.com/event-details/e9e1acc96536bb4f,"Las Vegas, Nevada, USA",
UFC Fight Night: Emmett vs. Topuria,http://www.ufcstats.com/event-details/a780d16cf7eed44d,"Jacksonville, Florida, USA",
UFC Fight Night: Vettori vs. Cannonier,http://www.ufcstats.com/event-details/b9415726dc3ec526,"Las Vegas, Nevada, USA",
UFC 289: Nunes vs. Aldana,http://www.ufcstats.com/event-details/b6c6d1731ff00eeb,"Vancouver, British Columbia, Canada",
UFC Fight Night: Kara-France vs. Albazi,http://www.ufcstats.com/event-details/7abe471b61725980,"Las Vegas, Nevada, USA",
UFC Fight Night: Dern vs. Hill,http://www.ufcstats.com/event-details/6f812143641ceff8,"Las Vegas, Nevada, USA",
UFC Fight Night: Rozenstruik vs. Almeida,http://www.ufcstats.com/event-details/901cddcbfa079097,"Charlotte, North Carolina, USA",
UFC 288: Sterling vs. Cejudo,http://www.ufcstats.com/event-details/3c6976f8182d9527,"Newark, New Jersey, USA",
UFC Fight Night: Song vs. Simon,http://www.ufcstats.com/event-details/51b1e2fd9872005b,"Las Vegas, Nevada, USA",
UFC Fight Night: Pavlovich vs. Blaydes,http://www.ufcstats.com/event-details/6fb1ba67bef41b37,"Las Vegas, Nevada, USA",
UFC Fight Night: Holloway vs. Allen,http://www.ufcstats.com/event-details/15b1b21cd743d652,"Kansas City, Missouri, USA",
UFC 287: Pereira vs. Adesanya 2,http://www.ufcstats.com/event-details/3dc3022232b79c7a,"Miami, Florida, USA",
UFC Fight Night: Vera vs. Sandhagen,http://www.ufcstats.com/event-details/aec273fcb765330d,"San Antonio, Texas, USA",
UFC 286: Edwards vs. Usman 3,http://www.ufcstats.com/event-details/e4bb7e483c4ad318,"London, England, United Kingdom",
UFC Fight Night: Yan vs. Dvalishvili,http://www.ufcstats.com/event-details/35080a7f406f9ab3,"Las Vegas, Nevada, USA",
UFC 285: Jones vs. Gane,http://www.ufcstats.com/event-details/1ccff7f0cfdf85eb,"Las Vegas, Nevada, USA",
UFC Fight Night: Muniz vs. Allen,http://www.ufcstats.com/event-details/806975e1b4f47b27,"Las Vegas, Nevada, USA",
UFC Fight Night: Andrade vs. Blanchfield,http://www.ufcstats.com/event-details/f21a3d68fb9df387,"Las Vegas, Nevada, USA",
UFC 284: Makhachev vs. Volkanovski,http://www.ufcstats.com/event-details/01dd4cdc2446f665,"Perth, Western Australia, Australia",
UFC Fight Night: Lewis vs. Spivac,http://www.ufcstats.com/event-details/d26394fc0e8e880a,"Las Vegas, Nevada, USA",
UFC 283: Teixeira vs. Hill,http://www.ufcstats.com/event-details/5717efc6f271cd52,"Rio de Janeiro, Rio de Janeiro, Brazil",
UFC Fight Night: Strickland vs. Imavov,http://www.ufcstats.com/event-details/2e2cdb6e9eb84bb9,"Las Vegas, Nevada, USA",
UFC Fight Night: Cannonier vs. Strickland,http://www.ufcstats.com/event-details/56ec58954158966a,"Las Vegas, Nevada, USA",
UFC 282: Blachowicz vs. Ankalaev,http://www.ufcstats.com/event-details/f65a0eb902f9476b,"Las Vegas, Nevada, USA",
