number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
10,0.5706503961028402,2026-04-14 23:20:43.103381,2026-04-14 23:20:56.264517,0 days 00:00:13.161136,,4.7988537297270994,104,4,0.7241143052589115,0.0500220915772748,2,2.7047195408777394,0.7590185822472575,251.6,0.7051886792452831,0.5706503961028402,"[0.6462264150943396, 0.6945754716981132, 0.6981132075471698, 0.7393867924528302, 0.7476415094339622]","[0.6330480572905254, 0.5852981653884792, 0.5765688740557885, 0.5268753833294438, 0.5314615004499644]",COMPLETE,cat,0.7051886792452831,0.5706503961028402,251.6
11,0.574173662116995,2026-04-14 23:20:56.277154,2026-04-14 23:21:10.420199,0 days 00:00:14.143045,,4.7213970919346835,111,4,0.8145039443050577,0.0422418554708793,2,2.730103545663009,0.7792623653896451,260.0,0.6964622641509435,0.574173662116995,"[0.6108490566037735, 0.6910377358490566, 0.6992924528301887, 0.7476415094339622, 0.7334905660377359]","[0.6413792526975085, 0.5911743105811723, 0.5801641440083926, 0.5244522531409952, 0.5336983501569061]",COMPLETE,cat,0.6964622641509435,0.574173662116995,260.0
12,0.5755560977835746,2026-04-14 23:21:10.433646,2026-04-14 23:21:21.648111,0 days 00:00:11.214465,,2.6981005340139883,94,4,0.5729891581071085,0.04572939823498841,1,1.8874714269275887,0.7508470552326313,216.2,0.6969339622641509,0.5755560977835746,"[0.5990566037735849, 0.6933962264150944, 0.7075471698113207, 0.7523584905660378, 0.7323113207547169]","[0.6462610075469056, 0.5928428596274707, 0.5794409190184331, 0.5233380148194884, 0.5358976879055755]",COMPLETE,cat,0.6969339622641509,0.5755560977835746,216.2
13,0.5691529381928191,2026-04-14 23:21:21.666879,2026-04-14 23:21:38.579218,0 days 00:00:16.912339,,4.772091754397456,186,4,9.941450502972591,0.057486995262846105,20,3.3130074119448287,0.6214869869747515,264.8,0.7056603773584905,0.5691529381928191,"[0.6509433962264151, 0.6933962264150944, 0.7016509433962265, 0.7393867924528302, 0.7429245283018868]","[0.6281457539000882, 0.5792978435722304, 0.5802223990459774, 0.5270657031244582, 0.5310329913213412]",COMPLETE,cat,0.7056603773584905,0.5691529381928191,264.8
14,0.5680837765899535,2026-04-14 23:21:38.594072,2026-04-14 23:21:57.637926,0 days 00:00:19.043854,,2.0760330818165,187,3,9.639798532690996,0.03255900240634263,23,3.4945672290244225,0.5926298696920421,444.4,0.7077830188679245,0.5680837765899535,"[0.6450471698113207, 0.7063679245283019, 0.7040094339622641, 0.7464622641509434, 0.7370283018867925]","[0.6189935162550334, 0.5852514311102615, 0.5787606411155426, 0.5235370868490788, 0.5338762076198511]",COMPLETE,cat,0.7077830188679245,0.5680837765899535,444.4
15,0.5754687369922273,2026-04-14 23:21:57.661726,2026-04-14 23:22:19.852015,0 days 00:00:22.190289,,1.8153354286555041,254,3,2.5683275408325796,0.030560439398829253,28,4.913430783889023,0.5736494341677159,444.0,0.6985849056603775,0.5754687369922273,"[0.5919811320754716, 0.7063679245283019, 0.6981132075471698, 0.7476415094339622, 0.7488207547169812]","[0.656896281059082, 0.5839984539538242, 0.5798657225389895, 0.5235991547394698, 0.5329840726697705]",COMPLETE,cat,0.6985849056603775,0.5754687369922273,444.0
16,0.6249826965858926,2026-04-14 23:22:19.874261,2026-04-14 23:22:47.400822,0 days 00:00:27.526561,,2.366771162277817,175,6,0.05519180548370288,0.010737220541389723,13,3.439561924234031,0.5856723384620987,,,,,,PRUNED,cat,,,
17,0.6090636936296461,2026-04-14 23:22:47.416719,2026-04-14 23:22:55.465097,0 days 00:00:08.048378,,3.268548079220718,203,5,1.703021670909712,0.07934237918397927,20,4.449079864842906,0.701762754231441,,,,,,PRUNED,cat,,,
18,0.5752160809216781,2026-04-14 23:22:55.478048,2026-04-14 23:23:12.993584,0 days 00:00:17.515536,Balanced,2.1837745868712672,157,3,7.930559319773263,0.03146669938150976,32,2.1325280364715797,0.5600598976608228,442.8,0.6981132075471697,0.5752160809216781,"[0.6591981132075472, 0.6816037735849056, 0.6757075471698113, 0.7287735849056604, 0.7452830188679245]","[0.6197384411754827, 0.5960784366267903, 0.5842647563927376, 0.5363091479928801, 0.5396896224205]",COMPLETE,cat,0.6981132075471697,0.5752160809216781,442.8
19,0.6519927365376054,2026-04-14 23:23:13.006680,2026-04-14 23:23:16.670682,0 days 00:00:03.664002,,1.1780050218752756,241,6,0.2887321925795485,0.16442069063917322,44,3.367182852177075,0.506065043634846,,,,,,PRUNED,cat,,,
