event,ufc_num,fighter_1,fighter_2,odds_1,odds_2,fair_1,fair_2,model_p1,model_p2,p_xgb,p_lgb,p_cat,model_pick,unanimous,confidence,tier,actual_winner,correct,swapped,unan_label,pick,model_prob,market_fair,american_odds,decimal_odds,edge,won,qualifies,odds_bucket,fk_stake,fk_pnl,ep_stake,ep_pnl
UFC 321,321.0,Mackenzie Dern,Virna Jandiroba,-144,117,0.5615296147211041,0.4384703852788959,0.1927,0.8073,0.1906999945640564,0.1882,0.1991,Virna Jandiroba,True,0.8073,VERY_HIGH,Mackenzie Dern,False,True,Unanimous,Virna Jandiroba,0.8073,0.4384703852788959,117,2.17,0.3688,False,True,Underdog (+100 or more),20.0,-20.0,7.376,-7.376
UFC 321,321.0,Mario Bautista,Umar Nurmagomedov,454,-632,0.1729155642905737,0.8270844357094262,0.0508,0.9492,0.041600000113248825,0.0363,0.0746,Umar Nurmagomedov,True,0.9492,VERY_HIGH,Umar Nurmagomedov,True,True,Unanimous,Umar Nurmagomedov,0.9492,0.8270844357094262,-632,1.1582,0.1221,True,True,Heavy Fav (-251 or more),20.0,3.163999999999998,2.4419999999999997,0.3863243999999997
UFC 321,321.0,Alexander Volkov,Jailton Almeida,156,-192,0.3726771492750664,0.6273228507249337,0.7377,0.2623,0.6959999799728394,0.7783,0.739,Alexander Volkov,True,0.7377,HIGH,Alexander Volkov,True,False,Unanimous,Alexander Volkov,0.7377,0.3726771492750664,156,2.56,0.365,True,True,Underdog (+100 or more),20.0,31.200000000000003,7.3,11.388
UFC 321,321.0,Aleksandar Rakic,Azamat Murzakanov,-120,33,0.4204425711275026,0.5795574288724974,0.1298,0.8702,0.061900001019239426,0.1029,0.2247,Azamat Murzakanov,True,0.8702,VERY_HIGH,Azamat Murzakanov,True,False,Unanimous,Azamat Murzakanov,0.8702,0.5795574288724974,33,1.33,0.2906,True,True,Underdog (+100 or more),20.0,6.600000000000001,5.812,1.9179600000000006
UFC 321,321.0,Nasrat Haqparast,Quillan Salkilld,69,-125,0.5157593123209169,0.484240687679083,0.2175,0.7825,0.23980000615119934,0.1865,0.2261,Quillan Salkilld,True,0.7825,HIGH,Quillan Salkilld,True,False,Unanimous,Quillan Salkilld,0.7825,0.484240687679083,-125,1.8,0.2983,True,True,Slight Fav (-100 to -150),20.0,16.0,5.966,4.7728
UFC 321,321.0,Ikram Aliskerov,Junyong Park,-219,172,0.6512441509598985,0.3487558490401014,0.9197,0.0803,0.9132000207901001,0.9588,0.8872,Ikram Aliskerov,True,0.9197,VERY_HIGH,Ikram Aliskerov,True,False,Unanimous,Ikram Aliskerov,0.9197,0.6512441509598985,-219,1.4566,0.2685,True,True,Moderate Fav (-151 to -250),20.0,9.131999999999998,5.37,2.4519419999999994
UFC 321,321.0,Louie Sutherland,Valter Walker,300,-392,0.2388349514563106,0.7611650485436893,0.0391,0.9609,0.02710000053048134,0.0589,0.0315,Valter Walker,True,0.9609,VERY_HIGH,Valter Walker,True,True,Unanimous,Valter Walker,0.9609,0.7611650485436893,-392,1.2551,0.1997,True,True,Heavy Fav (-251 or more),20.0,5.102000000000002,3.9939999999999998,1.0188694000000003
UFC 321,321.0,Jose Delgado,Nathaniel Wood,-157,128,0.5820866397814493,0.4179133602185507,0.4165,0.5835,0.477400004863739,0.3418,0.4304,Nathaniel Wood,True,0.5835,MEDIUM,Nathaniel Wood,True,True,Unanimous,Nathaniel Wood,0.5835,0.4179133602185507,128,2.28,0.1656,True,True,Underdog (+100 or more),12.937500000000002,16.56,3.312,4.23936
UFC 321,321.0,Chris Barnett,Hamdy Abdelwahab,344,-457,0.2153839015034337,0.7846160984965663,0.0597,0.9403,0.05950000137090683,0.0457,0.0738,Hamdy Abdelwahab,True,0.9403,VERY_HIGH,Hamdy Abdelwahab,True,True,Unanimous,Hamdy Abdelwahab,0.9403,0.7846160984965663,-457,1.2188,0.1557,True,True,Heavy Fav (-251 or more),20.0,4.376000000000002,3.114,0.6813432000000003
UFC 322,322.0,Valentina Shevchenko,Zhang Weili,-144,118,0.562661313449957,0.437338686550043,0.3431,0.6569,0.3001999855041504,0.3044,0.4246,Zhang Weili,True,0.6569,HIGH,Valentina Shevchenko,False,False,Unanimous,Zhang Weili,0.6569,0.437338686550043,118,2.18,0.2196,False,True,Underdog (+100 or more),18.61016949152542,-18.61016949152542,4.3919999999999995,-4.3919999999999995
UFC 322,322.0,Michael Morales,Sean Brady,121,-148,0.4312443486123669,0.568755651387633,0.7917,0.2083,0.8169999718666077,0.7449,0.8134,Michael Morales,True,0.7917,HIGH,Michael Morales,True,True,Unanimous,Michael Morales,0.7917,0.4312443486123669,121,2.21,0.3605,True,True,Underdog (+100 or more),20.0,24.2,7.21,8.7241
