event_name,event_url,event_date,location,event_date_parsed
UFC 297: Strickland vs. Du Plessis,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc,2024-01-20,"Toronto, Ontario, Canada",2024-01-20
UFC Fight Night: Ankalaev vs. Walker 2,http://www.ufcstats.com/event-details/010986ee359fb863,2024-01-13,"Las Vegas, Nevada, USA",2024-01-13
UFC 296: Edwards vs. Covington,http://www.ufcstats.com/event-details/a8e8587a06e73c87,2023-12-16,"Las Vegas, Nevada, USA",2023-12-16
UFC Fight Night: Song vs. Gutierrez,http://www.ufcstats.com/event-details/5ef0088c1b19beeb,2023-12-09,"Las Vegas, Nevada, USA",2023-12-09
UFC Fight Night: Dariush vs. Tsarukyan,http://www.ufcstats.com/event-details/53e4e21f4c688801,2023-12-02,"Austin, Texas, USA",2023-12-02
UFC Fight Night: Allen vs. Craig,http://www.ufcstats.com/event-details/3feed7d02711d8b7,2023-11-18,"Las Vegas, Nevada, USA",2023-11-18
UFC 295: Prochazka vs. Pereira,http://www.ufcstats.com/event-details/5a558ba1ff5e9121,2023-11-11,"New York City, New York, USA",2023-11-11
UFC Fight Night: Almeida vs. Lewis,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,"Sao Paulo, Sao Paulo, Brazil",2023-11-04
UFC 294: Makhachev vs. Volkanovski 2,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2023-10-21
UFC Fight Night: Yusuff vs. Barboza,http://www.ufcstats.com/event-details/f3a078277b3b8ff4,2023-10-14,"Las Vegas, Nevada, USA",2023-10-14
UFC Fight Night: Dawson vs. Green,http://www.ufcstats.com/event-details/c8a49ff2acb6f3c5,2023-10-07,"Las Vegas, Nevada, USA",2023-10-07
UFC Fight Night: Fiziev vs. Gamrot,http://www.ufcstats.com/event-details/c945adc22c2bfe8f,2023-09-23,"Las Vegas, Nevada, USA",2023-09-23
UFC Fight Night: Grasso vs. Shevchenko 2,http://www.ufcstats.com/event-details/8fa2b06572365321,2023-09-16,"Las Vegas, Nevada, USA",2023-09-16
UFC 293: Adesanya vs. Strickland,http://www.ufcstats.com/event-details/ece280745f8727b8,2023-09-09,"Sydney, New South Wales, Australia",2023-09-09
UFC Fight Night: Gane vs. Spivac,http://www.ufcstats.com/event-details/ef61d9f5176b3200,2023-09-02,"Paris, Ile-de-France, France",2023-09-02
UFC Fight Night: Holloway vs. The Korean Zombie,http://www.ufcstats.com/event-details/89a407032911e27e,2023-08-26,"Kallang, Singapore",2023-08-26
UFC 292: Sterling vs. O'Malley,http://www.ufcstats.com/event-details/2719f300b0439039,2023-08-19,"Boston, Massachusetts, USA",2023-08-19
UFC Fight Night: Luque vs. Dos Anjos,http://www.ufcstats.com/event-details/d2fa318f34d0aadc,2023-08-12,"Las Vegas, Nevada, USA",2023-08-12
UFC Fight Night: Sandhagen vs. Font,http://www.ufcstats.com/event-details/6f81b6de2557739a,2023-08-05,"Nashville, Tennessee, USA",2023-08-05
UFC 291: Poirier vs. Gaethje 2,http://www.ufcstats.com/event-details/ccd58ff71e260ed5,2023-07-29,"Salt Lake City, Utah, USA",2023-07-29
UFC Fight Night: Aspinall vs. Tybura,http://www.ufcstats.com/event-details/1174782eacde9b0c,2023-07-22,"London, England, United Kingdom",2023-07-22
UFC Fight Night: Holm vs. Bueno Silva,http://www.ufcstats.com/event-details/c9885b1b7c7055a0,2023-07-15,"Las Vegas, Nevada, USA",2023-07-15
UFC 290: Volkanovski vs. Rodriguez,http://www.ufcstats.com/event-details/6085ceb59087514b,2023-07-08,"Las Vegas, Nevada, USA",2023-07-08
UFC Fight Night: Strickland vs. Magomedov,http://www.ufcstats.com/event-details/e9e1acc96536bb4f,2023-07-01,"Las Vegas, Nevada, USA",2023-07-01
UFC Fight Night: Emmett vs. Topuria,http://www.ufcstats.com/event-details/a780d16cf7eed44d,2023-06-24,"Jacksonville, Florida, USA",2023-06-24
UFC Fight Night: Vettori vs. Cannonier,http://www.ufcstats.com/event-details/b9415726dc3ec526,2023-06-17,"Las Vegas, Nevada, USA",2023-06-17
UFC 289: Nunes vs. Aldana,http://www.ufcstats.com/event-details/b6c6d1731ff00eeb,2023-06-10,"Vancouver, British Columbia, Canada",2023-06-10
UFC Fight Night: Kara-France vs. Albazi,http://www.ufcstats.com/event-details/7abe471b61725980,2023-06-03,"Las Vegas, Nevada, USA",2023-06-03
UFC Fight Night: Dern vs. Hill,http://www.ufcstats.com/event-details/6f812143641ceff8,2023-05-20,"Las Vegas, Nevada, USA",2023-05-20
UFC Fight Night: Rozenstruik vs. Almeida,http://www.ufcstats.com/event-details/901cddcbfa079097,2023-05-13,"Charlotte, North Carolina, USA",2023-05-13
UFC 288: Sterling vs. Cejudo,http://www.ufcstats.com/event-details/3c6976f8182d9527,2023-05-06,"Newark, New Jersey, USA",2023-05-06
UFC Fight Night: Song vs. Simon,http://www.ufcstats.com/event-details/51b1e2fd9872005b,2023-04-29,"Las Vegas, Nevada, USA",2023-04-29
UFC Fight Night: Pavlovich vs. Blaydes,http://www.ufcstats.com/event-details/6fb1ba67bef41b37,2023-04-22,"Las Vegas, Nevada, USA",2023-04-22
UFC Fight Night: Holloway vs. Allen,http://www.ufcstats.com/event-details/15b1b21cd743d652,2023-04-15,"Kansas City, Missouri, USA",2023-04-15
UFC 287: Pereira vs. Adesanya 2,http://www.ufcstats.com/event-details/3dc3022232b79c7a,2023-04-08,"Miami, Florida, USA",2023-04-08
UFC Fight Night: Vera vs. Sandhagen,http://www.ufcstats.com/event-details/aec273fcb765330d,2023-03-25,"San Antonio, Texas, USA",2023-03-25
UFC 286: Edwards vs. Usman 3,http://www.ufcstats.com/event-details/e4bb7e483c4ad318,2023-03-18,"London, England, United Kingdom",2023-03-18
