event_name,event_url,event_date,location,event_date_parsed
UFC Fight Night: Poirier vs. Pettis,http://www.ufcstats.com/event-details/d856a0080ac09ed7,2017-11-11,"Norfolk, Virginia, USA",2017-11-11
UFC 217: Bisping vs. St-Pierre,http://www.ufcstats.com/event-details/a25b71fe5e31fa97,2017-11-04,"New York City, New York, USA",2017-11-04
UFC Fight Night: Brunson vs. Machida,http://www.ufcstats.com/event-details/a7724f51e32e763e,2017-10-28,"Sao Paulo, Sao Paulo, Brazil",2017-10-28
UFC Fight Night: Cerrone vs. Till,http://www.ufcstats.com/event-details/d6b68eaf4b68b160,2017-10-21,"Gdansk, Poland",2017-10-21
UFC 216: Ferguson vs. Lee,http://www.ufcstats.com/event-details/cc5834a495d1ea08,2017-10-07,"Las Vegas, Nevada, USA",2017-10-07
UFC Fight Night: Saint Preux vs. Okami,http://www.ufcstats.com/event-details/9211aae062b799d6,2017-09-22,"Saitama, Saitama, Japan",2017-09-22
UFC Fight Night: Rockhold vs. Branch,http://www.ufcstats.com/event-details/1979c80150f630c4,2017-09-16,"Pittsburgh, Pennsylvania, USA",2017-09-16
UFC 215: Nunes vs Shevchenko 2,http://www.ufcstats.com/event-details/d86e913c548c07c2,2017-09-09,"Edmonton, Alberta, Canada",2017-09-09
UFC Fight Night: Volkov vs. Struve,http://www.ufcstats.com/event-details/a3244e3238541482,2017-09-02,"Rotterdam, Zuid-Holland, Netherlands",2017-09-02
UFC Fight Night: Pettis vs. Moreno,http://www.ufcstats.com/event-details/f4a031ac205ac580,2017-08-05,"Mexico City, Distrito Federal, Mexico",2017-08-05
UFC 214: Cormier vs. Jones 2,http://www.ufcstats.com/event-details/ff9578cdbfabd323,2017-07-29,"Anaheim, California, USA",2017-07-29
UFC Fight Night: Weidman vs. Gastelum,http://www.ufcstats.com/event-details/9f3d6ddef3d3cccc,2017-07-22,"Uniondale, New York, USA",2017-07-22
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.ufcstats.com/event-details/d7907a9a968e4d29,2017-07-16,"Glasgow, Scotland, United Kingdom",2017-07-16
UFC 213: Romero vs. Whittaker,http://www.ufcstats.com/event-details/686cccbf1a4de453,2017-07-08,"Las Vegas, Nevada, USA",2017-07-08
The Ultimate Fighter: Redemption Finale,http://www.ufcstats.com/event-details/23bd78c3f89bdb54,2017-07-07,"Las Vegas, Nevada, USA",2017-07-07
UFC Fight Night: Chiesa vs. Lee,http://www.ufcstats.com/event-details/99bf06f20491cb54,2017-06-25,"Oklahoma City, Oklahoma, USA",2017-06-25
UFC Fight Night: Holm vs. Correia,http://www.ufcstats.com/event-details/353de740bb6c7e75,2017-06-17,"Kallang, Singapore",2017-06-17
UFC Fight Night: Lewis vs. Hunt,http://www.ufcstats.com/event-details/90e7447d8b7f3f35,2017-06-10,"Auckland, New Zealand",2017-06-10
UFC 212: Aldo vs. Holloway,http://www.ufcstats.com/event-details/1507214bbc7a79e2,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil",2017-06-03
UFC Fight Night: Gustafsson vs. Teixeira,http://www.ufcstats.com/event-details/1c7cce2f5c17160d,2017-05-28,"Stockholm, Sweden",2017-05-28
UFC 211: Miocic vs. Dos Santos,http://www.ufcstats.com/event-details/5df10509264586e5,2017-05-13,"Dallas, Texas, USA",2017-05-13
UFC Fight Night: Swanson vs. Lobov,http://www.ufcstats.com/event-details/bc7f7f0ba3db74d2,2017-04-22,"Nashville, Tennessee, USA",2017-04-22
UFC on FOX: Johnson vs. Reis,http://www.ufcstats.com/event-details/ed069a95aaaf4f56,2017-04-15,"Kansas City, Missouri, USA",2017-04-15
UFC 210: Cormier vs. Johnson 2,http://www.ufcstats.com/event-details/e7bfdb5e0112891e,2017-04-08,"Buffalo, New York, USA",2017-04-08
UFC Fight Night: Manuwa vs. Anderson,http://www.ufcstats.com/event-details/c0231720fe516994,2017-03-18,"London, England, United Kingdom",2017-03-18
UFC Fight Night: Belfort vs. Gastelum,http://www.ufcstats.com/event-details/47b7e4e60813b7b2,2017-03-11,"Fortaleza, Ceara, Brazil",2017-03-11
UFC 209: Woodley vs. Thompson 2,http://www.ufcstats.com/event-details/20e403a1acfef130,2017-03-04,"Las Vegas, Nevada, USA",2017-03-04
UFC Fight Night: Lewis vs. Browne,http://www.ufcstats.com/event-details/b4ad3a06ee4d660c,2017-02-19,"Halifax, Nova Scotia, Canada",2017-02-19
UFC 208: Holm vs. De Randamie,http://www.ufcstats.com/event-details/865aa315ea62c511,2017-02-11,"Brooklyn, New York, USA",2017-02-11
UFC Fight Night: Bermudez vs. The Korean Zombie,http://www.ufcstats.com/event-details/6a8a06b542e1516d,2017-02-04,"Houston, Texas, USA",2017-02-04
UFC on FOX: Shevchenko vs. Pena,http://www.ufcstats.com/event-details/4512e46543b960ad,2017-01-28,"Denver, Colorado, USA",2017-01-28
UFC Fight Night: Rodriguez vs. Penn,http://www.ufcstats.com/event-details/46effbd1135423c5,2017-01-15,"Phoenix, Arizona, USA",2017-01-15
UFC 207: Nunes vs. Rousey,http://www.ufcstats.com/event-details/4b2390cfaceb91d8,2016-12-30,"Las Vegas, Nevada, USA",2016-12-30
UFC on FOX: VanZant vs. Waterson,http://www.ufcstats.com/event-details/32541eb5d12668b4,2016-12-17,"Sacramento, California, USA",2016-12-17
UFC 206: Holloway vs. Pettis,http://www.ufcstats.com/event-details/6e3282d57d2467a0,2016-12-10,"Toronto, Ontario, Canada",2016-12-10
UFC Fight Night: Lewis vs. Abdurakhimov,http://www.ufcstats.com/event-details/7139cd2ae4bf6a29,2016-12-09,"Albany, New York, USA",2016-12-09
The Ultimate Fighter: Tournament of Champions Finale,http://www.ufcstats.com/event-details/bd4389b71fdc0ce2,2016-12-03,"Las Vegas, Nevada, USA",2016-12-03
UFC Fight Night: Whittaker vs. Brunson,http://www.ufcstats.com/event-details/73e09f837f3b5ecc,2016-11-26,"Melbourne, Victoria, Australia",2016-11-26
UFC Fight Night: Bader vs. Nogueira,http://www.ufcstats.com/event-details/5cde96e0a1a1fffe,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",2016-11-19
UFC Fight Night: Mousasi vs. Hall 2,http://www.ufcstats.com/event-details/6810d8d2dd557cf9,2016-11-19,"Belfast, Northern Ireland, United Kingdom",2016-11-19
UFC 205: Alvarez vs McGregor,http://www.ufcstats.com/event-details/4956f60b7fa57c1a,2016-11-12,"New York City, New York, USA",2016-11-12
UFC Fight Night: Dos Anjos vs. Ferguson,http://www.ufcstats.com/event-details/6083f497c22cc075,2016-11-05,"Mexico City, Distrito Federal, Mexico",2016-11-05
UFC 204: Bisping vs. Henderson,http://www.ufcstats.com/event-details/154a6b3ffae264cd,2016-10-08,"Manchester, England, United Kingdom",2016-10-08
UFC Fight Night: Lineker vs. Dodson,http://www.ufcstats.com/event-details/a196332ee4aa8a82,2016-10-01,"Portland, Oregon, USA",2016-10-01
UFC Fight Night: Cyborg vs. Lansberg,http://www.ufcstats.com/event-details/e18012194473e8b0,2016-09-24,"Brasilia, Distrito Federal, Brazil",2016-09-24
UFC Fight Night: Poirier vs. Johnson,http://www.ufcstats.com/event-details/d6455cb4bee503ce,2016-09-17,"Hidalgo, Texas, USA",2016-09-17
UFC 203: Miocic vs. Overeem,http://www.ufcstats.com/event-details/2dc7f1762dc0a7ef,2016-09-10,"Cleveland, Ohio, USA",2016-09-10
UFC Fight Night: Arlovski vs. Barnett,http://www.ufcstats.com/event-details/2b4faacc16d66898,2016-09-03,"Hamburg, Hamburg, Germany",2016-09-03
UFC on FOX: Maia vs. Condit,http://www.ufcstats.com/event-details/cfbccfed4e4796fe,2016-08-27,"Vancouver, British Columbia, Canada",2016-08-27
UFC 202: Diaz vs. McGregor 2,http://www.ufcstats.com/event-details/5da4e8dc02e50ac0,2016-08-20,"Las Vegas, Nevada, USA",2016-08-20
UFC Fight Night: Rodriguez vs. Caceres,http://www.ufcstats.com/event-details/232c582f29f8f65e,2016-08-06,"Salt Lake City, Utah, USA",2016-08-06
UFC 201: Lawler vs. Woodley,http://www.ufcstats.com/event-details/72cbe507644a587c,2016-07-30,"Atlanta, Georgia, USA",2016-07-30
UFC on FOX: Holm vs. Shevchenko,http://www.ufcstats.com/event-details/8a028648f3f0761d,2016-07-23,"Chicago, Illinois, USA",2016-07-23
UFC Fight Night: McDonald vs. Lineker,http://www.ufcstats.com/event-details/5e7a28f20927d64a,2016-07-13,"Sioux Falls, South Dakota, USA",2016-07-13
UFC 200: Tate vs Nunes,http://www.ufcstats.com/event-details/aa5b4eff51bdc7d1,2016-07-09,"Las Vegas, Nevada, USA",2016-07-09
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,http://www.ufcstats.com/event-details/cd42bbe8887bba90,2016-07-08,"Las Vegas, Nevada, USA",2016-07-08
UFC Fight Night: Dos Anjos vs. Alvarez,http://www.ufcstats.com/event-details/45a2ba3ef82b9700,2016-07-07,"Las Vegas, Nevada, USA",2016-07-07
UFC Fight Night: MacDonald vs Thompson,http://www.ufcstats.com/event-details/563d051c9e769b24,2016-06-18,"Ottawa, Ontario, Canada",2016-06-18
UFC 199: Rockhold vs. Bisping 2,http://www.ufcstats.com/event-details/ff4c3ab594c7fac3,2016-06-04,"Los Angeles, California, USA",2016-06-04
UFC Fight Night: Almeida vs Garbrandt,http://www.ufcstats.com/event-details/990060b2a68a7b82,2016-05-29,"Las Vegas, Nevada, USA",2016-05-29
UFC 198: Werdum vs Miocic,http://www.ufcstats.com/event-details/a4bf17bd3ba3423b,2016-05-14,"Curitiba, Parana, Brazil",2016-05-14
UFC Fight Night: Overeem vs Arlovski,http://www.ufcstats.com/event-details/a314687f372b2cec,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",2016-05-08
UFC 197: Jones vs Saint Preux,http://www.ufcstats.com/event-details/3d481aa374c954a1,2016-04-23,"Las Vegas, Nevada, USA",2016-04-23
UFC on FOX: Teixeira vs Evans,http://www.ufcstats.com/event-details/e7e970d508529bf3,2016-04-16,"Tampa, Florida, USA",2016-04-16
UFC Fight Night: Rothwell vs Dos Santos,http://www.ufcstats.com/event-details/4887e5bc4dbb73ff,2016-04-10,"Zagreb, Croatia",2016-04-10
UFC Fight Night: Hunt vs Mir,http://www.ufcstats.com/event-details/e60201cfab7d656d,2016-03-19,"Brisbane, Queensland, Australia",2016-03-19
UFC 196: McGregor vs Diaz,http://www.ufcstats.com/event-details/db1f2ed63b54b9a7,2016-03-05,"Las Vegas, Nevada, USA",2016-03-05
UFC Fight Night: Silva vs Bisping,http://www.ufcstats.com/event-details/39c568f8c579913e,2016-02-27,"London, England, United Kingdom",2016-02-27
UFC Fight Night: Cowboy vs Cowboy,http://www.ufcstats.com/event-details/d56bb6dff2ae77eb,2016-02-21,"Pittsburgh, Pennsylvania, USA",2016-02-21
UFC Fight Night: Hendricks vs Thompson,http://www.ufcstats.com/event-details/de99da2c0d18d34a,2016-02-06,"Las Vegas, Nevada, USA",2016-02-06
UFC on FOX: Johnson vs. Bader,http://www.ufcstats.com/event-details/b3fb8d2293e17a59,2016-01-30,"Newark, New Jersey, USA",2016-01-30
UFC Fight Night: Dillashaw vs Cruz,http://www.ufcstats.com/event-details/c6becb722706c7d8,2016-01-17,"Boston, Massachusetts, USA",2016-01-17
UFC 195: Lawler vs Condit,http://www.ufcstats.com/event-details/380e8b023290d091,2016-01-02,"Las Vegas, Nevada, USA",2016-01-02
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.ufcstats.com/event-details/80d918336163b80c,2015-12-19,"Orlando, Florida, USA",2015-12-19
UFC 194: Aldo vs McGregor,http://www.ufcstats.com/event-details/354808cf38d9d73c,2015-12-12,"Las Vegas, Nevada, USA",2015-12-12
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,http://www.ufcstats.com/event-details/20fbff570c678e1c,2015-12-11,"Las Vegas, Nevada, USA",2015-12-11
UFC Fight Night: Namajunas vs. VanZant,http://www.ufcstats.com/event-details/dd39f1ca787a3d9d,2015-12-10,"Las Vegas, Nevada, USA",2015-12-10
UFC Fight Night: Henderson vs Masvidal,http://www.ufcstats.com/event-details/4d636c3aa1105950,2015-11-28,"Seoul, South Korea",2015-11-28
UFC Fight Night: Magny vs Gastelum,http://www.ufcstats.com/event-details/243b07fc65ccbb16,2015-11-21,"Monterrey, Nuevo Leon, Mexico",2015-11-21
UFC 193: Rousey vs Holm,http://www.ufcstats.com/event-details/8d04923f2db59b7f,2015-11-14,"Melbourne, Victoria, Australia",2015-11-14
UFC Fight Night: Belfort vs Henderson 3,http://www.ufcstats.com/event-details/5345f86680378fc1,2015-11-07,"Sao Paulo, Sao Paulo, Brazil",2015-11-07
UFC Fight Night: Holohan vs Smolka,http://www.ufcstats.com/event-details/f3155a94ca420126,2015-10-24,"Dublin, Leinster, Ireland",2015-10-24
UFC 192: Cormier vs Gustafsson,http://www.ufcstats.com/event-details/119ebea97e914dcf,2015-10-03,"Houston, Texas, USA",2015-10-03
UFC Fight Night: Barnett vs Nelson,http://www.ufcstats.com/event-details/a4dd5c9a75763295,2015-09-26,"Saitama, Japan",2015-09-26
UFC 191: Johnson vs Dodson 2,http://www.ufcstats.com/event-details/82f5c81f4e3c3eb5,2015-09-05,"Las Vegas, Nevada, USA",2015-09-05
UFC Fight Night: Holloway vs Oliveira,http://www.ufcstats.com/event-details/2ce6541127b0e232,2015-08-23,"Saskatoon, Saskatchewan, Canada",2015-08-23
UFC Fight Night: Teixeira vs Saint Preux,http://www.ufcstats.com/event-details/b71667c778b6d9e5,2015-08-08,"Nashville, Tennessee, USA",2015-08-08
UFC 190: Rousey vs Correia,http://www.ufcstats.com/event-details/a9c45a8b21eabadc,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",2015-08-01
UFC on FOX: Dillashaw vs. Barao II,http://www.ufcstats.com/event-details/0c3838c8f7c620c2,2015-07-25,"Chicago, Illinois, USA",2015-07-25
UFC Fight Night: Bisping vs Leites,http://www.ufcstats.com/event-details/ef7fa30364cbe7f2,2015-07-18,"Glasgow, Scotland, United Kingdom",2015-07-18
UFC Fight Night: Mir vs Duffee,http://www.ufcstats.com/event-details/36877f0e62b25b96,2015-07-15,"San Diego, California, USA",2015-07-15
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,http://www.ufcstats.com/event-details/a890f9a791ed615d,2015-07-12,"Las Vegas, Nevada, USA",2015-07-12
UFC 189: Mendes vs McGregor,http://www.ufcstats.com/event-details/3be081c29bf734d9,2015-07-11,"Las Vegas, Nevada, USA",2015-07-11
UFC Fight Night: Machida vs Romero,http://www.ufcstats.com/event-details/86e388ed20761ad9,2015-06-27,"Hollywood, Florida, USA",2015-06-27
UFC Fight Night: Jedrzejczyk vs Penne,http://www.ufcstats.com/event-details/194fc025f9355db6,2015-06-20,"Berlin, Berlin, Germany",2015-06-20
UFC 188: Velasquez vs Werdum,http://www.ufcstats.com/event-details/a58114c6dd0add64,2015-06-13,"Mexico City, Distrito Federal, Mexico",2015-06-13
UFC Fight Night: Boetsch vs Henderson,http://www.ufcstats.com/event-details/06dc1a58663579d2,2015-06-06,"New Orleans, Louisiana, USA",2015-06-06
UFC Fight Night: Condit vs Alves,http://www.ufcstats.com/event-details/aae0897825336b1a,2015-05-30,"Goiania, Goias, Brazil",2015-05-30
UFC 187: Johnson vs Cormier,http://www.ufcstats.com/event-details/4f7e290e71d60f87,2015-05-23,"Las Vegas, Nevada, USA",2015-05-23
UFC Fight Night: Edgar vs Faber,http://www.ufcstats.com/event-details/b1605ea39fba6af6,2015-05-16,"Manila, Philippines",2015-05-16
UFC Fight Night: Miocic vs Hunt,http://www.ufcstats.com/event-details/8a1b4330c7957961,2015-05-09,"Adelaide, South Australia, Australia",2015-05-09
UFC 186: Johnson vs Horiguchi,http://www.ufcstats.com/event-details/997b4f52f76a0b53,2015-04-25,"Montreal, Quebec, Canada",2015-04-25
UFC on FOX: Machida vs Rockhold,http://www.ufcstats.com/event-details/bc7cf284c1c2f16e,2015-04-18,"Newark, New Jersey, USA",2015-04-18
UFC Fight Night: Gonzaga vs Cro Cop 2,http://www.ufcstats.com/event-details/5de61b03868035ff,2015-04-11,"Krakow, Poland",2015-04-11
UFC Fight Night: Mendes vs Lamas,http://www.ufcstats.com/event-details/16d09e800ad7ec79,2015-04-04,"Fairfax, Virginia, USA",2015-04-04
UFC Fight Night: Maia vs LaFlare,http://www.ufcstats.com/event-details/fa534853eb195270,2015-03-21,"Rio de Janeiro, Brazil",2015-03-21
UFC 185: Pettis vs Dos Anjos,http://www.ufcstats.com/event-details/f54200f1dfb9b5d4,2015-03-14,"Dallas, Texas, USA",2015-03-14
UFC 184: Rousey vs Zingano,http://www.ufcstats.com/event-details/ad4e9055bf8cd04d,2015-02-28,"Los Angeles, California, USA",2015-02-28
UFC Fight Night: Bigfoot vs Mir,http://www.ufcstats.com/event-details/0577808d22dfe79c,2015-02-22,"Porto Alegre, Rio Grande do Sul, Brazil",2015-02-22
UFC Fight Night: Henderson vs Thatch,http://www.ufcstats.com/event-details/f9c7fe2682af3802,2015-02-14,"Broomfield, Colorado, USA",2015-02-14
UFC 183: Silva vs Diaz,http://www.ufcstats.com/event-details/43563a32c3f10e95,2015-01-31,"Las Vegas, Nevada, USA",2015-01-31
UFC on FOX: Gustafsson vs Johnson,http://www.ufcstats.com/event-details/706404da0775dcbc,2015-01-24,"Stockholm, Sweden",2015-01-24
UFC Fight Night: McGregor vs Siver,http://www.ufcstats.com/event-details/f9aa6376ae16bfb4,2015-01-18,"Boston, Massachusetts, USA",2015-01-18
UFC 182: Jones vs Cormier,http://www.ufcstats.com/event-details/a72d260b436924c4,2015-01-03,"Las Vegas, Nevada, USA",2015-01-03
