event_name,event_date,fight_url,fighter_1,fighter_2,winner,f1_kd,f2_kd,f1_str,f2_str,f1_td,f2_td,f1_sub,f2_sub,weight_class,method,round,time
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6a4738656c493ee9,Gregory Rodrigues,Brunno Ferreira,Gregory Rodrigues,1,0,2,2,0,0,0,0,Middleweight,"KO/TKO

      

        Punch",1,1:47
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/ecd16d14a138d7fb,Cody Garbrandt,Xiao Long,Cody Garbrandt,0,0,28,59,0,1,0,0,Bantamweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/9c8d5dbd8905a715,Donte Johnson,Cody Brundage,Donte Johnson,0,0,45,31,0,2,0,0,Middleweight,S-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6feb49a6b7e8433c,Ricky Turcios,Alberto Montes,Alberto Montes,0,0,22,32,0,0,0,1,Featherweight,"SUB

      

        Anaconda Choke",2,0:40
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f661ef429055f8c1,Cody Durden,Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,0,0,8,25,3,4,0,1,Flyweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a22fd3735819d858,Sumudaerji,Jesus Aguilar,Sumudaerji,0,0,62,31,4,1,0,0,Flyweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/cc03e698c4b7da52,Rafael Tobias,Diyar Nurgozhay,Diyar Nurgozhay,0,0,39,94,2,0,1,0,Light Heavyweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a5abdc461cb1538e,Luke Fernandez,Rodolfo Bellato,Rodolfo Bellato,0,1,16,30,0,0,0,0,Light Heavyweight,"KO/TKO

      

        Punches",1,2:42
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/fa4b3f5ce8055921,Justin Gaethje,Paddy Pimblett,Justin Gaethje,2,0,144,156,3,0,0,0,Lightweight,U-DEC,5,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/007e8e0d4a39d82c,Sean O'Malley,Song Yadong,Sean O'Malley,0,0,48,36,0,3,0,0,Bantamweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/d93ee3860196c4ae,Waldo Cortes Acosta,Derrick Lewis,Waldo Cortes Acosta,1,0,44,8,1,0,0,0,Heavyweight,"KO/TKO

      

        Punches",2,3:14
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/d63c9aa4f4873001,Natalia Silva,Rose Namajunas,Natalia Silva,0,0,51,26,1,1,0,0,Women's Flyweight,U-DEC,3,5:00
