number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
13,0.5704969147513465,2026-04-14 23:09:02.632541,2026-04-14 23:09:07.702915,0 days 00:00:05.070374,0.5627601544079259,0.056999682933429566,5,42,0.07431166099217967,92,0.2033675288762677,0.38154767915470084,0.6550033123696585,86.0,0.7007075471698114,0.5704969147513465,"[0.6462264150943396, 0.6992924528301887, 0.6721698113207547, 0.7464622641509434, 0.7393867924528302]","[0.6225967862748255, 0.5923358887029296, 0.590902509983119, 0.5159681650580585, 0.5306812237377994]",COMPLETE,lgb,0.7007075471698114,0.5704969147513465,86.0
14,0.5705706733250712,2026-04-14 23:09:07.719016,2026-04-14 23:09:12.496146,0 days 00:00:04.777130,0.4710546393505432,0.0435848913640069,4,34,0.7694650274850472,65,1.3264047601077698,1.9952898488608448,0.731057379200564,155.0,0.7004716981132076,0.5705706733250712,"[0.6308962264150944, 0.7016509433962265, 0.6863207547169812, 0.7488207547169812, 0.7346698113207547]","[0.6222730186383607, 0.589264347552078, 0.5917021242581421, 0.5179188894027568, 0.5316949867740185]",COMPLETE,lgb,0.7004716981132076,0.5705706733250712,155.0
15,0.569613709260508,2026-04-14 23:09:12.513288,2026-04-14 23:09:21.201530,0 days 00:00:08.688242,0.30769243247063993,0.01823746384809008,5,50,0.2510263009632783,72,0.062257578888456615,0.12157988176987539,0.7317621388336346,287.6,0.7,0.569613709260508,"[0.6297169811320755, 0.7087264150943396, 0.6839622641509434, 0.7476415094339622, 0.7299528301886793]","[0.61863231479355, 0.5904745770874692, 0.590923733329414, 0.5151519330977672, 0.5328859879943401]",COMPLETE,lgb,0.7,0.569613709260508,287.6
16,0.5686342615903298,2026-04-14 23:09:21.219813,2026-04-14 23:09:26.151193,0 days 00:00:04.931380,0.6133930037912653,0.042783446231157436,4,32,1.3330712786154377,97,1.1349835828662918,0.01668735055209615,0.9332272057959198,139.2,0.701179245283019,0.5686342615903298,"[0.6391509433962265, 0.6851415094339622, 0.6922169811320755, 0.7429245283018868, 0.7464622641509434]","[0.6242628674758995, 0.5903496242185702, 0.5902138595589103, 0.5126876551945985, 0.5256573015036706]",COMPLETE,lgb,0.701179245283019,0.5686342615903298,139.2
17,0.5696502127778621,2026-04-14 23:09:26.168977,2026-04-14 23:09:29.656150,0 days 00:00:03.487173,0.38671283286093056,0.047156888828257804,6,29,1.3424739347011039,99,5.544564716435637,0.01293667993691413,0.9659084100735005,127.6,0.6985849056603775,0.5696502127778621,"[0.6238207547169812, 0.7028301886792453, 0.6709905660377359, 0.7523584905660378, 0.7429245283018868]","[0.6254815200472031, 0.5888587893126026, 0.5855190674411144, 0.518528350065981, 0.5298633370224092]",COMPLETE,lgb,0.6985849056603775,0.5696502127778621,127.6
18,0.5819474745090216,2026-04-14 23:09:29.671429,2026-04-14 23:09:31.797461,0 days 00:00:02.126032,0.5202113460152874,0.0969193339743378,4,14,1.3430726223020402,103,0.9722581906885688,0.0012270369235988874,0.9348931493933818,,,,,,PRUNED,lgb,,,
19,0.6108638419382953,2026-04-14 23:09:31.816262,2026-04-14 23:09:32.656609,0 days 00:00:00.840347,0.8162164682957822,0.14168046193643383,7,32,1.92704900812388,65,2.816948208353356,0.06099412898103847,0.9110284119688123,,,,,,PRUNED,lgb,,,
20,0.5699766269607546,2026-04-14 23:09:32.674268,2026-04-14 23:09:37.861241,0 days 00:00:05.186973,0.3665634203767864,0.03937801918465281,5,45,0.8927975256403422,16,0.4479717901387344,0.006392359405746701,0.7927035404859734,160.6,0.7030660377358491,0.5699766269607546,"[0.6580188679245284, 0.7028301886792453, 0.6792452830188679, 0.7441037735849056, 0.7311320754716981]","[0.6227984748265157, 0.5897598349614314, 0.5919333958926982, 0.5120117732674102, 0.5333796558557176]",COMPLETE,lgb,0.7030660377358491,0.5699766269607546,160.6
21,0.5811847996156927,2026-04-14 23:09:37.896378,2026-04-14 23:09:43.498588,0 days 00:00:05.602210,0.609608744458763,0.02294690565574328,4,37,0.6401262561836862,86,0.05246845012264984,0.038318346469841356,0.602313333959958,,,,,,PRUNED,lgb,,,
22,0.5685844580371118,2026-04-14 23:09:43.521551,2026-04-14 23:09:49.326533,0 days 00:00:05.804982,0.6415993456259238,0.037670647802893954,3,44,0.2643365543140507,75,0.5282226677536411,0.011163057211686664,0.6967278050286844,217.6,0.7011792452830189,0.5685844580371118,"[0.6297169811320755, 0.6933962264150944, 0.6922169811320755, 0.7464622641509434, 0.7441037735849056]","[0.6212892684958786, 0.5851711295515938, 0.5865324537164559, 0.5191243431170942, 0.5308050953045368]",COMPLETE,lgb,0.7011792452830189,0.5685844580371118,217.6
