number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
73,0.6025063389435017,2026-04-14 23:12:53.936976,2026-04-14 23:12:55.860087,0 days 00:00:01.923111,0.5968763564050817,0.040093932841565136,4,32,1.1846282055028283,69,2.1479099850410814,1.7637726683144914,0.5065076736065384,,,,,,PRUNED,lgb,,,
74,0.5673378248212043,2026-04-14 23:12:55.875882,2026-04-14 23:13:01.862111,0 days 00:00:05.986229,0.6581612184174176,0.03353292384677251,3,35,1.383567650845315,102,0.6751419052686282,0.0066788852883908414,0.9664550221181588,244.2,0.7047169811320755,0.5673378248212043,"[0.6367924528301887, 0.6992924528301887, 0.6898584905660378, 0.7535377358490566, 0.7441037735849056]","[0.6196291197081649, 0.5854585057596103, 0.5889952449615506, 0.5123776760750816, 0.5302285776016141]",COMPLETE,lgb,0.7047169811320755,0.5673378248212043,244.2
75,0.5692128452980076,2026-04-14 23:13:01.883197,2026-04-14 23:13:06.573180,0 days 00:00:04.689983,0.38455963983363667,0.033284457786967495,3,35,1.5029145574075526,106,0.7404354665398136,0.006257698687744624,0.9149681572389742,235.2,0.6992924528301886,0.5692128452980076,"[0.6356132075471698, 0.6981132075471698, 0.6886792452830188, 0.75, 0.7240566037735849]","[0.6201453527665116, 0.5885736040222211, 0.5842376397869948, 0.5190569429061561, 0.5340506870081546]",COMPLETE,lgb,0.6992924528301886,0.5692128452980076,235.2
76,0.6057394616602286,2026-04-14 23:13:06.587456,2026-04-14 23:13:08.162288,0 days 00:00:01.574832,0.6649536827766925,0.05483627901174619,6,33,1.3962360767304354,88,1.0062880155941105,0.0023669658624182193,0.9642545792213472,,,,,,PRUNED,lgb,,,
77,0.6011679534995973,2026-04-14 23:13:08.181508,2026-04-14 23:13:10.468154,0 days 00:00:02.286646,0.456756825942488,0.02128577585882941,7,30,1.3098300270748695,101,5.482656719728921,0.001000877911520351,0.9842500789994262,,,,,,PRUNED,lgb,,,
78,0.5689254233323429,2026-04-14 23:13:10.486957,2026-04-14 23:13:16.974280,0 days 00:00:06.487323,0.42801917361212954,0.02441192157607116,5,37,1.5519524632346902,127,1.6808199645099406,0.0034602326912098053,0.9451907642876957,255.8,0.7023584905660378,0.5689254233323429,"[0.6391509433962265, 0.7040094339622641, 0.6922169811320755, 0.7441037735849056, 0.7323113207547169]","[0.6217343733715842, 0.588104650611952, 0.589112579737618, 0.5149062935479736, 0.5307692193925866]",COMPLETE,lgb,0.7023584905660378,0.5689254233323429,255.8
79,0.6010184270952866,2026-04-14 23:13:16.988937,2026-04-14 23:13:18.921938,0 days 00:00:01.933001,0.6909388174772358,0.029165001557848,3,27,1.6301935919169848,123,2.359826071607239,0.029122126565944102,0.8965981353358718,,,,,,PRUNED,lgb,,,
80,0.6059137254762573,2026-04-14 23:13:18.939386,2026-04-14 23:13:20.774126,0 days 00:00:01.834740,0.7340615084581612,0.049930737061098115,6,19,1.1143458671544404,81,1.3499317378558708,0.008143248101675342,0.9990234019528433,,,,,,PRUNED,lgb,,,
81,0.6005704415844514,2026-04-14 23:13:20.793502,2026-04-14 23:13:22.286023,0 days 00:00:01.492521,0.648998550477417,0.03880256528278389,3,35,1.430910788232261,94,0.5520101457041259,0.013545115920209874,0.7768046124045407,,,,,,PRUNED,lgb,,,
82,0.6010006554600191,2026-04-14 23:13:22.315179,2026-04-14 23:13:24.167059,0 days 00:00:01.851880,0.5894199953866969,0.0453530049486557,4,31,1.169755918751088,73,0.6811409714632511,0.011411395951225825,0.9701105900492811,,,,,,PRUNED,lgb,,,
83,0.5675874969973405,2026-04-14 23:13:24.193774,2026-04-14 23:13:29.744560,0 days 00:00:05.550786,0.5622438280244669,0.034219877344836724,3,38,1.8172155929589588,82,1.1367131448471934,0.004332158263124879,0.9589368764965825,240.6,0.7033018867924528,0.5675874969973405,"[0.6356132075471698, 0.7016509433962265, 0.6863207547169812, 0.7523584905660378, 0.7405660377358491]","[0.6186873866067767, 0.5861576908554997, 0.5899494342357333, 0.51154904481865, 0.5315939284700423]",COMPLETE,lgb,0.7033018867924528,0.5675874969973405,240.6
84,0.5684493217670307,2026-04-14 23:13:29.759993,2026-04-14 23:13:33.877756,0 days 00:00:04.117763,0.35600981930697917,0.03382340033608265,3,37,1.843058304804455,87,1.1530477427869232,0.006873026167449763,0.9307182428907709,232.2,0.7030660377358491,0.5684493217670307,"[0.6426886792452831, 0.7028301886792453, 0.6886792452830188, 0.7429245283018868, 0.7382075471698113]","[0.6172856725362285, 0.5859437792026856, 0.5850114316524907, 0.5162599632482922, 0.5377457621954564]",COMPLETE,lgb,0.7030660377358491,0.5684493217670307,232.2
85,0.5794234053093472,2026-04-14 23:13:33.893867,2026-04-14 23:13:37.756493,0 days 00:00:03.862626,0.5592072384570992,0.03545906276901628,3,39,1.824807073344932,82,1.1327687552719203,0.00527992840194516,0.9328729376616823,,,,,,PRUNED,lgb,,,
86,0.568848301722365,2026-04-14 23:13:37.779963,2026-04-14 23:13:41.919013,0 days 00:00:04.139050,0.350603151368414,0.033763352715084516,3,37,1.6932182256953996,86,0.38415147268332206,0.0073272509919475905,0.9544230825568015,235.6,0.7035377358490565,0.568848301722365,"[0.6344339622641509, 0.7063679245283019, 0.6910377358490566, 0.7417452830188679, 0.7441037735849056]","[0.6169510982410256, 0.58921307384755, 0.5874294604198329, 0.5141902937281062, 0.5364575823753104]",COMPLETE,lgb,0.7035377358490565,0.568848301722365,235.6
87,0.5804304729978716,2026-04-14 23:13:41.938104,2026-04-14 23:13:46.392399,0 days 00:00:04.454295,0.6684749137592163,0.026890999455552088,4,36,1.795100440190081,91,0.034065951948739535,0.0202813633558085,0.9873221490525937,,,,,,PRUNED,lgb,,,
88,0.5669275197296658,2026-04-14 23:13:46.413448,2026-04-14 23:13:50.972969,0 days 00:00:04.559521,0.5098783717726617,0.041441122293693365,3,39,1.8844138565633322,78,1.891384389349383,0.00364988518967787,0.8724743582012581,224.0,0.7011792452830189,0.5669275197296658,"[0.6391509433962265, 0.7028301886792453, 0.6863207547169812, 0.7452830188679245, 0.7323113207547169]","[0.6160660380199813, 0.5859349713430783, 0.5891203524170477, 0.5137274885914718, 0.5297887482767498]",COMPLETE,lgb,0.7011792452830189,0.5669275197296658,224.0
89,0.5686454863145235,2026-04-14 23:13:50.994015,2026-04-14 23:13:54.446138,0 days 00:00:03.452123,0.5085176247609295,0.05975436148791621,3,41,1.9957399272819234,79,1.798673731544618,0.0044338656638846985,0.8683936402844208,158.8,0.7028301886792454,0.5686454863145235,"[0.6450471698113207, 0.6933962264150944, 0.6933962264150944, 0.7358490566037735, 0.7464622641509434]","[0.6197417201380898, 0.5879275364659091, 0.587646819551475, 0.5175453833467379, 0.5303659720704053]",COMPLETE,lgb,0.7028301886792454,0.5686454863145235,158.8
90,0.5678552676936828,2026-04-14 23:13:54.469632,2026-04-14 23:13:58.765976,0 days 00:00:04.296344,0.5716546670928228,0.042563669366198445,4,34,1.9387961400232678,70,0.8602272247002365,0.001816627673247906,0.880510648389622,146.6,0.7016509433962264,0.5678552676936828,"[0.6367924528301887, 0.6945754716981132, 0.6863207547169812, 0.7441037735849056, 0.7464622641509434]","[0.6220319282720239, 0.5883883013180099, 0.5889619554006473, 0.5114579838186646, 0.5284361696590677]",COMPLETE,lgb,0.7016509433962264,0.5678552676936828,146.6
91,0.6006315638252214,2026-04-14 23:13:58.781421,2026-04-14 23:14:00.116732,0 days 00:00:01.335311,0.5695030121348634,0.05274061603454389,4,34,1.8698867953133305,71,0.9535866782531336,0.0018785053002319113,0.9054312583636901,,,,,,PRUNED,lgb,,,
92,0.6003130288928497,2026-04-14 23:14:00.135990,2026-04-14 23:14:01.601695,0 days 00:00:01.465705,0.535072561250714,0.0427353971822226,4,39,1.9580986058272027,65,0.7883796632004799,0.001454538131066027,0.9712010364957537,,,,,,PRUNED,lgb,,,
93,0.568635036891963,2026-04-14 23:14:01.621481,2026-04-14 23:14:06.188790,0 days 00:00:04.567309,0.5974050412254929,0.04840239390844235,3,33,1.7415156245911896,60,1.3680063341813917,0.0024738190553893345,0.8380347295881004,181.2,0.7009433962264151,0.568635036891963,"[0.6391509433962265, 0.6969339622641509, 0.6792452830188679, 0.7429245283018868, 0.7464622641509434]","[0.6191673733328789, 0.5914783657433935, 0.5861446074645477, 0.5149763098162119, 0.5314085281027825]",COMPLETE,lgb,0.7009433962264151,0.568635036891963,181.2
94,0.5684241911759685,2026-04-14 23:14:06.204711,2026-04-14 23:14:10.147598,0 days 00:00:03.942887,0.6320331578050844,0.03906334710311176,4,35,1.9079524068118308,77,2.74868136987155,0.0018978226167697823,0.8743023103283178,168.4,0.7023584905660377,0.5684241911759685,"[0.6391509433962265, 0.7028301886792453, 0.6816037735849056, 0.7464622641509434, 0.7417452830188679]","[0.6236343334455802, 0.5867981853045221, 0.5879223270185377, 0.5167340338627523, 0.5270320762484504]",COMPLETE,lgb,0.7023584905660377,0.5684241911759685,168.4
95,0.5687819644086055,2026-04-14 23:14:10.162386,2026-04-14 23:14:14.294523,0 days 00:00:04.132137,0.5532478629699782,0.0455114368743403,3,38,1.9414854179628456,50,0.5165489537260247,0.0036757059042237567,0.8856486260039826,186.2,0.7007075471698113,0.5687819644086055,"[0.6332547169811321, 0.6945754716981132, 0.6922169811320755, 0.75, 0.7334905660377359]","[0.6175681092119756, 0.5909705079973484, 0.5894518096099618, 0.5146716931232314, 0.5312477021005106]",COMPLETE,lgb,0.7007075471698113,0.5687819644086055,186.2
96,0.6007636900894686,2026-04-14 23:14:14.307536,2026-04-14 23:14:15.537111,0 days 00:00:01.229575,0.518439441144507,0.06861671094241993,4,32,1.6767976311016703,70,2.0636036080999633,0.010207964844029048,0.9203787256023707,,,,,,PRUNED,lgb,,,
97,0.6024904894780452,2026-04-14 23:14:15.552199,2026-04-14 23:14:16.794638,0 days 00:00:01.242439,0.4744274506655588,0.08367689183640042,8,29,1.7969497906684886,56,3.616177719806608,0.0029065642639820957,0.8227070091319909,,,,,,PRUNED,lgb,,,
98,0.5679749088375824,2026-04-14 23:14:16.811380,2026-04-14 23:14:23.423839,0 days 00:00:06.612459,0.6059716426877023,0.03063048035947727,4,36,1.356821545663249,122,0.1315794359530342,0.001274930056603904,0.8545502053466096,204.8,0.7049528301886792,0.5679749088375824,"[0.6332547169811321, 0.7004716981132075, 0.6945754716981132, 0.7547169811320755, 0.7417452830188679]","[0.6207952733830497, 0.5853947985731783, 0.590620569942952, 0.515456076908517, 0.5276078253802149]",COMPLETE,lgb,0.7049528301886792,0.5679749088375824,204.8
99,0.6033128604435954,2026-04-14 23:14:23.437749,2026-04-14 23:14:26.102380,0 days 00:00:02.664631,0.6087028843676933,0.030347211362743785,7,42,1.37389824132495,117,0.12541736694464864,0.005026024327111558,0.8571177339219005,,,,,,PRUNED,lgb,,,
