number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
10,0.5651352582586241,2026-04-14 22:40:02.630366,2026-04-14 22:40:39.981128,0 days 00:00:37.350762,0.3125733129303738,3.3828618987138985,0.010206070557576998,9,20,0.012323881360612965,0.5767509177705751,0.6843643863605486,560.2,0.7021226415094339,0.5651352582586241,"[0.6308962264150944, 0.7040094339622641, 0.6957547169811321, 0.7417452830188679, 0.7382075471698113]","[0.6195389734705011, 0.5828624834160225, 0.5764375198456243, 0.5201417695936184, 0.526695544967354]",COMPLETE,xgb,0.7021226415094339,0.5651352582586241,560.2
11,0.565062332516026,2026-04-14 22:40:39.993915,2026-04-14 22:41:14.609333,0 days 00:00:34.615418,0.3120303051882712,3.329051871196459,0.010231737782682434,9,20,0.008832846687000679,0.5518835130779202,0.6955250269502941,543.6,0.7011792452830189,0.565062332516026,"[0.6285377358490566, 0.7040094339622641, 0.6922169811320755, 0.7464622641509434, 0.7346698113207547]","[0.6210804854830155, 0.5807869778685176, 0.57903567935096, 0.5161470016709453, 0.5282615182066914]",COMPLETE,xgb,0.7011792452830189,0.565062332516026,543.6
12,0.570291771186084,2026-04-14 22:41:14.625102,2026-04-14 22:41:31.493080,0 days 00:00:16.867978,0.30459718620930953,3.23575401482894,0.029461940003887327,9,9,0.0585064338136868,0.18339586045180714,0.6395165771576232,185.2,0.6976415094339623,0.570291771186084,"[0.6273584905660378, 0.7063679245283019, 0.6863207547169812, 0.7464622641509434, 0.7216981132075472]","[0.6254317700152009, 0.586487931996976, 0.5771154469940212, 0.5272740464282094, 0.5351496604960128]",COMPLETE,xgb,0.6976415094339623,0.570291771186084,185.2
13,0.5658273692556876,2026-04-14 22:41:31.510793,2026-04-14 22:42:06.028030,0 days 00:00:34.517237,0.4589973081556149,3.1524272414253978,0.01121012420535718,8,20,0.0056251036036845305,0.846276960766363,0.7953799759818749,423.0,0.7030660377358491,0.5658273692556876,"[0.6356132075471698, 0.7075471698113207, 0.6886792452830188, 0.7464622641509434, 0.7370283018867925]","[0.6253274486942954, 0.5850717476327795, 0.5784613800217788, 0.5159635408852353, 0.5243127290443487]",COMPLETE,xgb,0.7030660377358491,0.5658273692556876,423.0
14,0.6003405166217298,2026-04-14 22:42:06.041238,2026-04-14 22:42:12.405882,0 days 00:00:06.364644,0.9893853271118613,3.922459820160932,0.03324055826093338,7,10,0.0011286551377492828,0.055104510959729104,0.7541098343340505,,,,,,PRUNED,xgb,,,
15,0.5678993463806887,2026-04-14 22:42:12.421755,2026-04-14 22:42:26.572271,0 days 00:00:14.150516,0.4158893969697645,2.6875227675101487,0.039098294456764375,8,6,0.017760351853845783,1.0786845740314392,0.6328125067062143,107.8,0.7004716981132075,0.5678993463806887,"[0.6426886792452831, 0.6992924528301887, 0.6945754716981132, 0.7417452830188679, 0.7240566037735849]","[0.6191935081397132, 0.5912855651895671, 0.576124031431309, 0.5196196131636318, 0.5332740139792227]",COMPLETE,xgb,0.7004716981132075,0.5678993463806887,107.8
16,0.6064036965931341,2026-04-14 22:42:26.584936,2026-04-14 22:42:30.005794,0 days 00:00:03.420858,0.6136640704060327,3.8095684852664373,0.08830587574621251,5,1,0.10309523269908275,0.08268361825217621,0.5647295708656634,,,,,,PRUNED,xgb,,,
17,0.5637628785263799,2026-04-14 22:42:30.019975,2026-04-14 22:42:53.430298,0 days 00:00:23.410323,0.7038644217227745,2.5745727439804087,0.016925694920845048,4,17,0.004249961299579403,0.21723929087510693,0.6777364359903284,349.8,0.7035377358490567,0.5637628785263799,"[0.6403301886792453, 0.7063679245283019, 0.6851415094339622, 0.75, 0.7358490566037735]","[0.6174468434548193, 0.5828411548496943, 0.5756423375931848, 0.5158491533889263, 0.5270349033452746]",COMPLETE,xgb,0.7035377358490567,0.5637628785263799,349.8
18,0.5641603737617532,2026-04-14 22:42:53.447445,2026-04-14 22:43:19.422910,0 days 00:00:25.975465,0.7385352394861314,2.647245599291286,0.018256970069118684,4,17,0.0027755884138184602,0.02799387023283983,0.8119240300648315,378.6,0.7042452830188679,0.5641603737617532,"[0.6285377358490566, 0.7110849056603774, 0.6898584905660378, 0.75, 0.7417452830188679]","[0.6231977913763628, 0.5825271432993019, 0.581672791730512, 0.5094695859423257, 0.5239345564602639]",COMPLETE,xgb,0.7042452830188679,0.5641603737617532,378.6
19,0.5969649606921618,2026-04-14 22:43:19.436607,2026-04-14 22:43:29.549150,0 days 00:00:10.112543,0.7494803851311659,1.6058757650862998,0.01761370669517897,4,17,0.002561088312974372,0.024912417260024727,0.8449824006362925,,,,,,PRUNED,xgb,,,
20,0.596846980250927,2026-04-14 22:43:29.566793,2026-04-14 22:43:36.445742,0 days 00:00:06.878949,0.6086109621684825,2.396765886951213,0.024477347449160566,4,15,0.0014886870077699804,0.03418142037658587,0.9123161127609904,,,,,,PRUNED,xgb,,,
21,0.5968035896180407,2026-04-14 22:43:36.465316,2026-04-14 22:43:41.532844,0 days 00:00:05.067528,0.7598189518253154,2.7580712556728826,0.04520105819918696,4,18,0.0038819097888976328,0.18366940493774078,0.7973736500379813,,,,,,PRUNED,xgb,,,
22,0.5650326912412501,2026-04-14 22:43:41.547876,2026-04-14 22:44:10.958501,0 days 00:00:29.410625,0.9083135736046613,0.05945710806545357,0.016588021092168437,3,11,0.02698436576296099,0.1962071460882405,0.7771842091614318,416.4,0.7049528301886793,0.5650326912412501,"[0.6367924528301887, 0.7004716981132075, 0.6969339622641509, 0.7511792452830188, 0.7393867924528302]","[0.6188284423244547, 0.5828310673007628, 0.5823073262797004, 0.513192740849139, 0.5280038794521936]",COMPLETE,xgb,0.7049528301886793,0.5650326912412501,416.4
23,0.565813779288839,2026-04-14 22:44:10.974849,2026-04-14 22:44:39.748607,0 days 00:00:28.773758,0.682459262035108,2.1827198990476147,0.014415872509419708,4,7,0.007450355997619264,2.741074459852874,0.6516276433659303,375.0,0.7056603773584905,0.565813779288839,"[0.6320754716981132, 0.7099056603773585, 0.6922169811320755, 0.7488207547169812, 0.7452830188679245]","[0.6214415241642998, 0.5836170267415458, 0.5782839645713789, 0.5163417182635656, 0.5293846627034052]",COMPLETE,xgb,0.7056603773584905,0.565813779288839,375.0
24,0.6012821585197676,2026-04-14 22:44:39.766002,2026-04-14 22:44:48.373393,0 days 00:00:08.607391,0.9089848156774106,2.895296980700228,0.026146388959170437,5,4,0.0033781047216779785,0.013781874405820693,0.9121077859136648,,,,,,PRUNED,xgb,,,
25,0.5665510002001025,2026-04-14 22:44:48.392088,2026-04-14 22:44:55.759094,0 days 00:00:07.367006,0.7784027193442821,1.3588530286581264,0.07482227022847905,3,18,0.0010856592931584796,0.34359906257426337,0.7231268999268673,,,,,,PRUNED,xgb,,,
26,0.5644884610059339,2026-04-14 22:44:55.775048,2026-04-14 22:45:05.101320,0 days 00:00:09.326272,0.5817786594722769,3.629005208257566,0.046376209983106834,4,14,0.11200735861199657,0.08891765886689595,0.5453814695719217,126.8,0.7049528301886792,0.5644884610059339,"[0.6356132075471698, 0.7040094339622641, 0.6933962264150944, 0.7476415094339622, 0.7441037735849056]","[0.6186856567759835, 0.5851002871499293, 0.5769201877909138, 0.5136698309810593, 0.5280663423317834]",COMPLETE,xgb,0.7049528301886792,0.5644884610059339,126.8
27,0.5653303875718079,2026-04-14 22:45:05.117375,2026-04-14 22:45:26.324291,0 days 00:00:21.206916,0.5714637573537596,3.800596115794448,0.021542602125545027,6,14,0.11899921064797762,0.08631202424182068,0.5949249944030268,236.0,0.7075471698113207,0.5653303875718079,"[0.6450471698113207, 0.7110849056603774, 0.6875, 0.7476415094339622, 0.7464622641509434]","[0.6194322281025245, 0.5867317891233748, 0.5783711959404606, 0.5157513701196184, 0.5263653545730614]",COMPLETE,xgb,0.7075471698113207,0.5653303875718079,236.0
28,0.5639840414925541,2026-04-14 22:45:26.338986,2026-04-14 22:45:56.414351,0 days 00:00:30.075365,0.6831721052006878,4.882484124446535,0.013584998388879438,5,15,0.45782396018404065,0.03870812815634791,0.675985999832973,360.8,0.7023584905660378,0.5639840414925541,"[0.625, 0.7051886792452831, 0.6933962264150944, 0.7429245283018868, 0.7452830188679245]","[0.618296403824242, 0.5831258167728383, 0.5735059386139056, 0.5177091064457001, 0.527282941806084]",COMPLETE,xgb,0.7023584905660378,0.5639840414925541,360.8
