event_name,event_date,fight_url,fighter_1_winner,fighter_2_loser,winner_kd,loser_kd,winner_str,loser_str,winner_td,loser_td,winner_sub,loser_sub,weight_class,method,round,time
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f44b4e998b6829f6,Elijah Smith,SuYoung You,1,0,16,3,0,4,1,0,Bantamweight,"SUB

      

        Rear Naked Choke",2,1:04
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/c769dd861357af9f,Manoel Sousa,Bolaji Oki,2,0,71,84,0,1,1,0,Lightweight,"KO/TKO

      

        Punch",3,4:12
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/cff81d681a01ae18,Eryk Anders,Brad Tavares,0,1,35,48,3,0,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8cab057e6549afd0,Bia Mesquita,Montse Rendon,0,0,18,0,1,0,1,0,Women's Bantamweight,"SUB

      

        Rear Naked Choke",1,2:07
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/32d371462c539bee,Hecher Sosa,Luan Lacerda,0,0,104,62,0,4,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/244285b7fd0ddece,Piera Rodriguez,Sam Hughes,0,0,107,77,1,0,0,0,Women's Strawweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f030febede41c661,Charles Oliveira,Max Holloway,0,0,50,26,5,0,4,0,Lightweight,U-DEC,5,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/d564db29997e1371,Caio Borralho,Reinier de Ridder,0,0,57,55,1,2,0,0,Middleweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/bed89a91da9d04c1,Raul Rosas Jr.,Rob Font,0,0,8,10,16,0,0,0,Bantamweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f02c0adc4ae629c6,Drew Dober,Michael Johnson,1,0,22,27,0,0,0,0,Lightweight,"KO/TKO

      

        Punch",2,1:53
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6a4738656c493ee9,Gregory Rodrigues,Brunno Ferreira,1,0,2,2,0,0,0,0,Middleweight,"KO/TKO

      

        Punch",1,1:47
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/ecd16d14a138d7fb,Cody Garbrandt,Xiao Long,0,0,28,59,0,1,0,0,Bantamweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/9c8d5dbd8905a715,Donte Johnson,Cody Brundage,0,0,45,31,0,2,0,0,Middleweight,S-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6feb49a6b7e8433c,Alberto Montes,Ricky Turcios,0,0,32,22,0,0,1,0,Featherweight,"SUB

      

        Anaconda Choke",2,0:40
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f661ef429055f8c1,Nyamjargal Tumendemberel,Cody Durden,0,0,25,8,4,3,1,0,Flyweight,U-DEC,3,5:00
